,a,b
0,,
1,,
2,"TABLAS DE CORRELACIÓN 
TIGIE FRACCIONES ARANCELARIAS",
3,TIGIE 2022 (SA 2022),TIGIE 2020 (SA 2017)
3971,5402.51.02,5402.51.02
3972,5402.52.03,5402.52.03
3973,5402.53.01,5402.53.01
3974,5402.59.99,5402.59.99
3975,5402.61.02,5402.61.02
3976,5402.62.02,5402.62.02
3977,5402.63.01,5402.63.01
3978,5402.69.99,5402.69.99
3979,5403.10.01,5403.10.01
3980,5403.31.03,5403.31.03
3981,5403.32.03,5403.32.03
3982,5403.33.01,5403.33.01
3983,5403.39.99,5403.39.99
3984,5403.41.03,5403.41.03
3985,5403.42.01,5403.42.01
3986,5403.49.99,5403.49.99
3987,5404.11.01,5404.11.01
3988,5404.11.99,5404.11.99
3989,5404.12.91,5404.12.02
3990,5404.19.99,5404.19.99
3991,5404.90.99,5404.90.99
3992,5405.00.05,5405.00.05
3993,5406.00.01,5406.00.01
3994,5406.00.02,5406.00.02
3995,5406.00.05,5406.00.05
3996,5406.00.91,5406.00.04
3997,5407.10.03,5407.10.03
3998,5407.20.02,5407.20.02
3999,5407.30.04,5407.30.04
4000,5407.41.05,5407.41.05
4001,5407.42.05,5407.42.05
4002,5407.43.04,5407.43.04
4003,5407.44.01,5407.44.01
4004,5407.51.05,5407.51.05
4005,5407.52.05,5407.52.05
4006,5407.53.04,5407.53.04
4007,5407.54.05,5407.54.05
4008,5407.61.06,5407.61.06
4009,5407.69.99,5407.69.99
4010,5407.71.01,5407.71.01
4011,5407.72.01,5407.72.01
4012,5407.73.04,5407.73.04
4013,5407.74.01,5407.74.01
4014,5407.81.01,5407.81.01
4015,5407.82.04,5407.82.04
4016,5407.83.01,5407.83.01
4017,5407.84.01,5407.84.01
4018,5407.91.08,5407.91.08
4019,5407.92.07,5407.92.07
4020,5407.93.08,5407.93.08
4021,5407.94.08,5407.94.08
4022,5408.10.05,5408.10.05
4023,5408.21.04,5408.21.04
4024,5408.22.05,5408.22.05
4025,5408.23.06,5408.23.06
4026,5408.24.02,5408.24.02
4027,5408.31.05,5408.31.05
4028,5408.32.06,5408.32.06
4029,5408.33.05,5408.33.05
4030,5408.34.04,5408.34.04
4031,5501.11.01,5501.10.01
4032,5501.19.99,5501.10.01
4033,5501.20.02,5501.20.02
4034,5501.20.99,5501.20.99
4035,5501.30.01,5501.30.01
4036,5501.40.01,5501.40.01
4037,5501.90.99,5501.90.99
4038,5502.10.01,5502.10.01
4039,5502.90.01,5502.90.01
4040,5502.90.99,5502.90.99
4041,5503.11.01,5503.11.01
4042,5503.19.99,5503.19.99
4043,5503.20.03,5503.20.03
4044,5503.20.99,5503.20.99
4045,5503.30.01,5503.30.01
4046,5503.40.01,5503.40.01
4047,5503.40.99,5503.40.99
4048,5503.90.01,5503.90.01
4049,5503.90.99,5503.90.99
4050,5504.10.02,5504.10.02
4051,5504.90.99,5504.90.99
4052,5505.10.01,5505.10.01
4053,5505.20.01,5505.20.01
4054,5506.10.01,5506.10.01
4055,5506.20.01,5506.20.01
4056,5506.30.01,5506.30.01
4057,5506.40.01,5506.40.01
4058,5506.90.99,5506.90.99
4059,5507.00.01,5507.00.01
4060,5508.10.01,5508.10.01
4061,5508.20.01,5508.20.01
4062,5509.11.01,5509.11.01
4063,5509.12.01,5509.12.01
4064,5509.21.01,5509.21.01
4065,5509.22.01,5509.22.01
4066,5509.31.01,5509.31.01
4067,5509.32.01,5509.32.01
4068,5509.41.01,5509.41.01
4069,5509.42.01,5509.42.01
4070,5509.51.01,5509.51.01
4071,5509.52.01,5509.52.01
4072,5509.53.01,5509.53.01
4073,5509.59.99,5509.59.99
4074,5509.61.01,5509.61.01
4075,5509.62.01,5509.62.01
4076,5509.69.99,5509.69.99
4077,5509.91.01,5509.91.01
4078,5509.92.01,5509.92.01
4079,5509.99.99,5509.99.99
4080,5510.11.01,5510.11.01
4081,5510.12.01,5510.12.01
4082,5510.20.91,5510.20.01
4083,5510.30.91,5510.30.01
4084,5510.90.91,5510.90.01
4085,5511.10.01,5511.10.01
4086,5511.20.01,5511.20.01
4087,5511.30.01,5511.30.01
4088,5512.11.05,5512.11.05
4089,5512.19.99,5512.19.99
4090,5512.21.01,5512.21.01
4091,5512.29.99,5512.29.99
4092,5512.91.01,5512.91.01
4093,5512.99.99,5512.99.99
4094,5513.11.04,5513.11.04
4095,5513.12.01,5513.12.01
4096,5513.13.91,5513.13.01
4097,5513.19.91,5513.19.01
4098,5513.21.04,5513.21.04
4099,5513.23.91,5513.23.02
4100,5513.29.91,5513.29.01
4101,5513.31.01,5513.31.01
4102,5513.39.91,5513.39.03
4103,5513.41.01,5513.41.01
4104,5513.49.91,5513.49.03
4105,5514.11.01,5514.11.01
4106,5514.12.01,5514.12.01
4107,5514.19.91,5514.19.02
4108,5514.21.01,5514.21.01
4109,5514.22.01,5514.22.01
4110,5514.23.91,5514.23.01
4111,5514.29.91,5514.29.01
4112,5514.30.05,5514.30.05
4113,5514.41.01,5514.41.01
4114,5514.42.01,5514.42.01
4115,5514.43.91,5514.43.01
4116,5514.49.91,5514.49.01
4117,5515.11.01,5515.11.01
4118,5515.12.01,5515.12.01
4119,5515.13.02,5515.13.02
4120,5515.19.99,5515.19.99
4121,5515.21.01,5515.21.01
4122,5515.22.02,5515.22.02
4123,5515.29.99,5515.29.99
4124,5515.91.01,5515.91.01
4125,5515.99.99,5515.99.99
4126,5516.11.01,5516.11.01
4127,5516.12.01,5516.12.01
4128,5516.13.01,5516.13.01
4129,5516.14.01,5516.14.01
4130,5516.21.01,5516.21.01
4131,5516.22.01,5516.22.01
4132,5516.23.01,5516.23.01
4133,5516.24.01,5516.24.01
4134,5516.31.02,5516.31.02
4135,5516.32.02,5516.32.02
4136,5516.33.02,5516.33.02
4137,5516.34.02,5516.34.02
4138,5516.41.01,5516.41.01
4139,5516.42.01,5516.42.01
4140,5516.43.01,5516.43.01
4141,5516.44.01,5516.44.01
4142,5516.91.01,5516.91.01
4143,5516.92.01,5516.92.01
4144,5516.93.01,5516.93.01
4145,5516.94.01,5516.94.01
4146,5601.21.02,5601.21.02
4147,5601.22.01,5601.22.01
4148,5601.22.99,5601.22.99
4149,5601.29.99,5601.29.99
4150,5601.30.02,5601.30.02
4151,5602.10.02,5602.10.02
4152,5602.21.03,5602.21.03
4153,5602.29.91,5602.29.01
4154,5602.90.99,5602.90.99
4155,5603.11.01,5603.11.01
4156,5603.12.02,5603.12.02
4157,5603.13.02,5603.13.02
4158,5603.14.01,5603.14.01
4159,5603.91.01,5603.91.01
4160,5603.92.01,5603.92.01
4161,5603.93.01,5603.93.01
4162,5603.94.01,5603.94.01
4163,5604.10.01,5604.10.01
4164,5604.90.01,5604.90.01
4165,5604.90.02,5604.90.02
4166,5604.90.04,5604.90.04
4167,5604.90.05,5604.90.05
4168,5604.90.06,5604.90.06
4169,5604.90.07,5604.90.07
4170,5604.90.08,5604.90.08
4171,5604.90.09,5604.90.09
4172,5604.90.10,5604.90.10
4173,5604.90.11,5604.90.11
4174,5604.90.12,5604.90.12
4175,5604.90.13,5604.90.13
4176,5604.90.14,5604.90.14
4177,5604.90.99,5604.90.99
4178,5605.00.01,5605.00.01
4179,5606.00.03,5606.00.03
4180,5607.21.01,5607.21.01
4181,5607.29.99,5607.29.99
4182,5607.41.01,5607.41.01
4183,5607.49.99,5607.49.99
4184,5607.50.91,5607.50.01
4185,5607.90.02,5607.90.02
4186,5607.90.99,5607.90.99
4187,5608.11.02,5608.11.02
4188,5608.19.99,5608.19.99
4189,5608.90.99,5608.90.99
4190,5609.00.02,5609.00.02
4191,5701.10.01,5701.10.01
4192,5701.90.91,5701.90.01
4193,5702.10.01,5702.10.01
4194,5702.20.01,5702.20.01
4195,5702.31.01,5702.31.01
4196,5702.32.01,5702.32.01
4197,5702.39.91,5702.39.01
4198,5702.41.01,5702.41.01
4199,5702.42.01,5702.42.01
4200,5702.49.91,5702.49.01
4201,5702.50.91,5702.50.03
4202,5702.91.01,5702.91.01
4203,5702.92.01,5702.92.01
4204,5702.99.91,5702.99.01
4205,5703.10.01,5703.10.01
4206,5703.21.01,5703.20.02
4207,5703.29.99,5703.20.02
4208,5703.31.01,5703.30.02
4209,5703.39.99,5703.30.02
4210,5703.90.91,5703.90.01
4211,5704.10.01,5704.10.01
4212,5704.20.01,5704.20.01
4213,5704.90.99,5704.90.99
4214,5705.00.91,5705.00.02
4215,5801.10.01,5801.10.01
4216,5801.21.01,5801.21.01
4217,5801.22.01,5801.22.01
4218,5801.23.91,5801.23.01
4219,5801.26.01,5801.26.01
4220,5801.27.01,5801.27.01
4221,5801.31.01,5801.31.01
4222,5801.32.01,5801.32.01
4223,5801.33.91,5801.33.01
4224,5801.36.01,5801.36.01
4225,5801.37.01,5801.37.01
4226,5801.90.91,5801.90.01
4227,5802.10.01,5802.11.01
4228,5802.10.99,5802.19.99
4229,5802.20.01,5802.20.01
4230,5802.30.01,5802.30.01
4231,5803.00.05,5803.00.05
4232,5804.10.01,5804.10.01
4233,5804.21.01,5804.21.01
4234,5804.29.91,5804.29.01
4235,5804.30.01,5804.30.01
4236,5805.00.01,5805.00.01
4237,5806.10.01,5806.10.01
4238,5806.10.99,5806.10.99
4239,5806.20.01,5806.20.01
4240,5806.20.99,5806.20.99
4241,5806.31.01,5806.31.01
4242,5806.32.01,5806.32.01
4243,5806.39.01,5806.39.01
4244,5806.39.99,5806.39.99
4245,5806.40.01,5806.40.01
4246,5806.40.99,5806.40.99
4247,5807.10.01,5807.10.01
4248,5807.90.99,5807.90.99
4249,5808.10.01,5808.10.01
4250,5808.90.99,5808.90.99
4251,5809.00.01,5809.00.01
4252,5810.10.01,5810.10.01
4253,5810.91.01,5810.91.01
4254,5810.92.01,5810.92.01
4255,5810.99.91,5810.99.01
4256,5811.00.01,5811.00.01
4257,5901.10.01,5901.10.01
4258,5901.90.99,5901.90.99
4259,5902.10.01,5902.10.01
4260,5902.20.01,5902.20.01
4261,5902.90.99,5902.90.99
4262,5903.10.02,5903.10.02
4263,5903.20.02,5903.20.02
4264,5903.90.99,5903.90.99
4265,5904.10.01,5904.10.01
4266,5904.90.99,5904.90.99
4267,5905.00.01,5905.00.01
4268,5906.10.01,5906.10.01
4269,5906.91.02,5906.91.02
4270,5906.99.99,5906.99.99
4271,5907.00.01,5907.00.01
4272,5907.00.05,5907.00.05
4273,5907.00.06,5907.00.06
4274,5907.00.99,5907.00.99
4275,5908.00.03,5908.00.03
4276,5908.00.99,5908.00.99
4277,5909.00.01,5909.00.01
4278,5910.00.01,5910.00.01
4279,5911.10.01,5911.10.01
4280,5911.10.99,5911.10.99
4281,5911.20.01,5911.20.01
4282,5911.31.01,5911.31.01
4283,5911.32.01,5911.32.01
4284,5911.40.01,5911.40.01
4285,5911.90.01,5911.90.01
4286,5911.90.99,5911.90.99
4287,6001.10.03,6001.10.03
4288,6001.21.01,6001.21.01
4289,6001.22.01,6001.22.01
4290,6001.29.01,6001.29.01
4291,6001.29.99,6001.29.99
4292,6001.91.01,6001.91.01
4293,6001.92.01,6001.92.01
4294,6001.99.91,6001.99.01
4295,6002.40.01,6002.40.01
4296,6002.40.99,6002.40.99
4297,6002.90.01,6002.90.01
4298,6002.90.99,6002.90.99
4299,6003.10.01,6003.10.01
4300,6003.20.01,6003.20.01
4301,6003.30.01,6003.30.01
4302,6003.40.01,6003.40.01
4303,6003.90.01,6003.90.01
4304,6003.90.99,6003.90.99
4305,6004.10.01,6004.10.01
4306,6004.10.99,6004.10.99
4307,6004.90.01,6004.90.01
4308,6004.90.99,6004.90.99
4309,6005.21.01,6005.21.01
4310,6005.22.01,6005.22.01
4311,6005.23.01,6005.23.01
4312,6005.24.01,6005.24.01
4313,6005.35.01,6005.35.01
4314,6005.36.91,6005.36.01
4315,6005.37.91,6005.37.02
4316,6005.38.91,6005.38.01
4317,6005.39.91,6005.39.01
4318,6005.41.01,6005.41.01
4319,6005.42.01,6005.42.01
4320,6005.43.01,6005.43.01
4321,6005.44.01,6005.44.01
4322,6005.90.99,6005.90.99
4323,6006.10.01,6006.10.01
4324,6006.21.02,6006.21.02
4325,6006.22.02,6006.22.02
4326,6006.23.02,6006.23.02
4327,6006.24.02,6006.24.02
4328,6006.31.03,6006.31.03
4329,6006.32.03,6006.32.03
4330,6006.33.03,6006.33.03
4331,6006.34.03,6006.34.03
4332,6006.41.01,6006.41.01
4333,6006.42.01,6006.42.01
4334,6006.43.01,6006.43.01
4335,6006.44.01,6006.44.01
4336,6006.90.99,6006.90.99
4337,6101.20.03,6101.20.03
4338,6101.30.01,6101.30.01
4339,6101.30.99,6101.30.99
4340,6101.90.91,6101.90.02
4341,6102.10.01,6102.10.01
4342,6102.20.03,6102.20.03
4343,6102.30.01,6102.30.01
4344,6102.30.99,6102.30.99
4345,6102.90.91,6102.90.01
4346,6103.10.05,6103.10.05
4347,6103.22.01,6103.22.01
4348,6103.23.01,6103.23.01
4349,6103.29.91,6103.29.02
4350,6103.31.01,6103.31.01
4351,6103.32.01,6103.32.01
4352,6103.33.02,6103.33.02
4353,6103.39.91,6103.39.03
4354,6103.41.01,6103.41.01
4355,6103.42.03,6103.42.03
4356,6103.43.01,6103.43.01
4357,6103.43.99,6103.43.99
4358,6103.49.91,6103.49.03
4359,6104.13.02,6104.13.02
4360,6104.19.91,6104.19.06
4361,6104.22.01,6104.22.01
4362,6104.23.01,6104.23.01
4363,6104.29.91,6104.29.02
4364,6104.31.01,6104.31.01
4365,6104.32.01,6104.32.01
4366,6104.33.02,6104.33.02
4367,6104.39.91,6104.39.03
4368,6104.41.01,6104.41.01
4369,6104.42.03,6104.42.03
4370,6104.43.02,6104.43.02
4371,6104.44.02,6104.44.02
4372,6104.49.91,6104.49.02
4373,6104.51.01,6104.51.01
4374,6104.52.01,6104.52.01
4375,6104.53.02,6104.53.02
4376,6104.59.91,6104.59.03
4377,6104.61.01,6104.61.01
4378,6104.62.03,6104.62.03
4379,6104.63.01,6104.63.01
4380,6104.63.99,6104.63.99
4381,6104.69.91,6104.69.03
4382,6105.10.02,6105.10.02
4383,6105.20.03,6105.20.03
4384,6105.90.91,6105.90.02
4385,6106.10.02,6106.10.02
4386,6106.20.01,6106.20.01
4387,6106.20.99,6106.20.99
4388,6106.90.91,6106.90.03
4389,6107.11.03,6107.11.03
4390,6107.12.03,6107.12.03
4391,6107.19.91,6107.19.01
4392,6107.21.01,6107.21.01
4393,6107.22.01,6107.22.01
4394,6107.29.91,6107.29.02
4395,6107.91.01,6107.91.01
4396,6107.99.91,6107.99.03
4397,6108.11.01,6108.11.01
4398,6108.19.91,6108.19.01
4399,6108.21.03,6108.21.03
4400,6108.22.03,6108.22.03
4401,6108.29.91,6108.29.01
4402,6108.31.03,6108.31.03
4403,6108.32.03,6108.32.03
4404,6108.39.91,6108.39.02
4405,6108.91.02,6108.91.02
4406,6108.92.02,6108.92.02
4407,6108.99.91,6108.99.02
4408,6109.10.03,6109.10.03
4409,6109.90.04,6109.90.04
4410,6109.90.99,6109.90.99
4411,6110.11.03,6110.11.03
4412,6110.12.01,6110.12.01
4413,6110.19.99,6110.19.99
4414,6110.20.05,6110.20.05
4415,6110.30.01,6110.30.01
4416,6110.30.99,6110.30.99
4417,6110.90.91,6110.90.02
4418,6111.20.12,6111.20.12
4419,6111.30.07,6111.30.07
4420,6111.90.91,6111.90.05
4421,6112.11.01,6112.11.01
4422,6112.12.01,6112.12.01
4423,6112.19.91,6112.19.03
4424,6112.20.02,6112.20.02
4425,6112.31.01,6112.31.01
4426,6112.39.91,6112.39.01
4427,6112.41.01,6112.41.01
4428,6112.49.91,6112.49.01
4429,6113.00.02,6113.00.02
4430,6114.20.01,6114.20.01
4431,6114.30.02,6114.30.02
4432,6114.90.91,6114.90.02
4433,6115.10.01,6115.10.01
4434,6115.21.01,6115.21.01
4435,6115.22.01,6115.22.01
4436,6115.29.91,6115.29.01
4437,6115.30.91,6115.30.01
4438,6115.94.01,6115.94.01
4439,6115.95.01,6115.95.01
4440,6115.96.01,6115.96.01
4441,6115.99.91,6115.99.01
4442,6116.10.02,6116.10.02
4443,6116.10.02,6116.91.01
4444,6116.10.02,6116.92.01
4445,6116.10.02,6116.93.01
4446,6116.10.02,6116.99.01
4447,6116.91.01,6116.91.01
4448,6116.92.01,6116.92.01
4449,6116.93.01,6116.93.01
4450,6116.99.91,6116.99.01
4451,6117.10.02,6117.10.02
4452,6117.80.02,6117.80.02
4453,6117.80.99,6117.80.99
4454,6117.90.01,6117.90.01
4455,6201.20.01,6201.11.01
4456,6201.20.99,6201.91.01
4457,6201.30.01,6201.12.01
4458,6201.30.01,6201.92.01
4459,6201.30.99,6201.12.99
4460,6201.30.99,6201.92.99
4461,6201.40.01,6201.13.01
4462,6201.40.02,6201.13.02
4463,6201.40.02,6201.93.01
4464,6201.40.99,6201.13.99
4465,6201.40.99,6201.93.99
4466,6201.90.91,6201.19.01
4467,6201.90.91,6201.99.01
4468,6202.20.01,6202.11.01
4469,6202.20.99,6202.91.01
4470,6202.30.01,6202.12.01
4471,6202.30.01,6202.92.01
4472,6202.30.99,6202.12.99
4473,6202.30.99,6202.92.99
4474,6202.40.01,6202.13.01
4475,6202.40.02,6202.13.02
4476,6202.40.02,6202.93.01
4477,6202.40.99,6202.13.99
4478,6202.40.99,6202.93.99
4479,6202.90.91,6202.19.01
4480,6202.90.91,6202.99.01
4481,6203.11.01,6203.11.01
4482,6203.12.01,6203.12.01
4483,6203.19.91,6203.19.03
4484,6203.22.01,6203.22.01
4485,6203.23.01,6203.23.01
4486,6203.29.91,6203.29.02
4487,6203.31.01,6203.31.01
4488,6203.32.03,6203.32.03
4489,6203.33.01,6203.33.01
4490,6203.33.99,6203.33.99
4491,6203.39.91,6203.39.04
4492,6203.41.01,6203.41.01
4493,6203.42.01,6203.42.01
4494,6203.42.02,6203.42.02
4495,6203.42.91,6203.42.91
4496,6203.42.92,6203.42.92
4497,6203.43.01,6203.43.01
4498,6203.43.91,6203.43.91
4499,6203.43.92,6203.43.92
4500,6203.49.91,6203.49.01
4501,6204.11.01,6204.11.01
4502,6204.12.01,6204.12.01
4503,6204.13.02,6204.13.02
4504,6204.19.91,6204.19.04
4505,6204.21.01,6204.21.01
4506,6204.22.01,6204.22.01
4507,6204.23.01,6204.23.01
4508,6204.29.91,6204.29.01
4509,6204.31.01,6204.31.01
4510,6204.32.03,6204.32.03
4511,6204.33.01,6204.33.01
4512,6204.33.02,6204.33.02
4513,6204.33.99,6204.33.99
4514,6204.39.91,6204.39.04
4515,6204.41.01,6204.41.01
4516,6204.42.01,6204.42.01
4517,6204.42.99,6204.42.99
4518,6204.43.01,6204.43.01
4519,6204.43.02,6204.43.02
4520,6204.43.99,6204.43.99
4521,6204.44.01,6204.44.01
4522,6204.44.02,6204.44.02
4523,6204.44.99,6204.44.99
4524,6204.49.91,6204.49.02
4525,6204.51.01,6204.51.01
4526,6204.52.03,6204.52.03
4527,6204.53.01,6204.53.01
4528,6204.53.02,6204.53.02
4529,6204.53.99,6204.53.99
4530,6204.59.91,6204.59.06
4531,6204.61.01,6204.61.01
4532,6204.62.09,6204.62.09
4533,6204.63.01,6204.63.01
4534,6204.63.91,6204.63.91
4535,6204.63.92,6204.63.92
4536,6204.69.02,6204.69.02
4537,6204.69.03,6204.69.03
4538,6204.69.99,6204.69.99
4539,6205.20.01,6205.20.01
4540,6205.20.91,6205.20.91
4541,6205.20.92,6205.20.92
4542,6205.30.01,6205.30.01
4543,6205.30.91,6205.30.91
4544,6205.30.92,6205.30.92
4545,6205.90.01,6205.90.01
4546,6205.90.02,6205.90.02
4547,6205.90.99,6205.90.99
4548,6206.10.01,6206.10.01
4549,6206.20.02,6206.20.02
4550,6206.30.04,6206.30.04
4551,6206.40.01,6206.40.01
4552,6206.40.02,6206.40.02
4553,6206.40.91,6206.40.91
4554,6206.40.92,6206.40.92
4555,6206.90.01,6206.90.01
4556,6206.90.99,6206.90.99
4557,6207.11.01,6207.11.01
4558,6207.19.91,6207.19.01
4559,6207.21.01,6207.21.01
4560,6207.22.01,6207.22.01
4561,6207.29.91,6207.29.02
4562,6207.91.01,6207.91.01
4563,6207.99.91,6207.99.03
4564,6208.11.01,6208.11.01
4565,6208.19.91,6208.19.01
4566,6208.21.01,6208.21.01
4567,6208.22.01,6208.22.01
4568,6208.29.91,6208.29.02
4569,6208.91.01,6208.91.01
4570,6208.92.02,6208.92.02
4571,6208.99.91,6208.99.03
4572,6209.20.07,6209.20.07
4573,6209.30.05,6209.30.05
4574,6209.90.91,6209.90.05
4575,6210.10.01,6210.10.01
4576,6210.20.91,6210.20.01
4577,6210.20.91,6210.40.01
4578,6210.30.91,6210.30.01
4579,6210.30.91,6210.50.01
4580,6210.40.91,6210.40.01
4581,6210.50.91,6210.50.01
4582,6211.11.01,6211.11.01
4583,6211.12.01,6211.12.01
4584,6211.20.02,6211.20.02
4585,6211.32.02,6211.32.02
4586,6211.33.02,6211.33.02
4587,6211.39.91,6211.39.03
4588,6211.42.02,6211.42.02
4589,6211.43.02,6211.43.02
4590,6211.49.91,6211.49.01
4591,6212.10.07,6212.10.07
4592,6212.20.01,6212.20.01
4593,6212.30.01,6212.30.01
4594,6212.90.99,6212.90.99
4595,6213.20.01,6213.20.01
4596,6213.90.91,6213.90.02
4597,6214.10.01,6214.10.01
4598,6214.20.01,6214.20.01
4599,6214.30.01,6214.30.01
4600,6214.40.01,6214.40.01
4601,6214.90.91,6214.90.01
4602,6215.10.01,6215.10.01
4603,6215.20.01,6215.20.01
4604,6215.90.91,6215.90.01
4605,6216.00.01,6216.00.01
4606,6217.10.01,6217.10.01
4607,6217.90.01,6217.90.01
4608,6301.10.01,6301.10.01
4609,6301.20.01,6301.20.01
4610,6301.30.01,6301.30.01
4611,6301.40.01,6301.40.01
4612,6301.90.91,6301.90.01
4613,6302.10.01,6302.10.01
4614,6302.21.01,6302.21.01
4615,6302.22.01,6302.22.01
4616,6302.29.91,6302.29.01
4617,6302.31.06,6302.31.06
4618,6302.32.06,6302.32.06
4619,6302.39.91,6302.39.01
4620,6302.40.01,6302.40.01
4621,6302.51.01,6302.51.01
4622,6302.53.01,6302.53.01
4623,6302.59.91,6302.59.02
4624,6302.60.06,6302.60.06
4625,6302.91.01,6302.91.01
4626,6302.93.01,6302.93.01
4627,6302.99.91,6302.99.02
4628,6303.12.01,6303.12.01
4629,6303.19.91,6303.19.02
4630,6303.91.01,6303.91.01
4631,6303.92.02,6303.92.02
4632,6303.99.91,6303.99.01
4633,6304.11.01,6304.11.01
4634,6304.19.99,6304.19.99
4635,6304.20.01,6304.20.01
4636,6304.91.01,6304.91.01
4637,6304.92.01,6304.92.01
4638,6304.93.01,6304.93.01
4639,6304.99.91,6304.99.01
4640,6305.10.01,6305.10.01
4641,6305.20.01,6305.20.01
4642,6305.32.01,6305.32.01
4643,6305.33.91,6305.33.01
4644,6305.39.99,6305.39.99
4645,6305.90.91,6305.90.01
4646,6306.12.01,6306.12.01
4647,6306.19.91,6306.19.02
4648,6306.22.01,6306.22.01
4649,6306.29.91,6306.29.02
4650,6306.30.02,6306.30.02
4651,6306.40.02,6306.40.02
4652,6306.90.99,6306.90.99
4653,6307.10.01,6307.10.01
4654,6307.20.01,6307.20.01
4655,6307.90.01,6307.90.01
4656,6307.90.99,6307.90.99
4657,6308.00.01,6308.00.01
4658,6309.00.01,6309.00.01
4659,6310.10.02,6310.10.02
4660,6310.90.99,6310.90.99
4661,6401.10.01,6401.10.01
4662,6401.92.11,6401.92.11
4663,6401.92.99,6401.92.99
4664,6401.99.99,6401.99.99
4665,6402.12.01,6402.12.01
4666,6402.19.01,6402.19.01
4667,6402.19.99,6402.19.99
4668,6402.20.04,6402.20.04
4669,6402.91.02,6402.91.02
4670,6402.91.06,6402.91.06
4671,6402.99.06,6402.99.06
4672,6402.99.19,6402.99.19
4673,6402.99.20,6402.99.20
4674,6402.99.21,6402.99.21
4675,6402.99.91,6402.99.91
4676,6402.99.92,6402.99.92
4677,6402.99.93,6402.99.93
4678,6402.99.94,6402.99.94
4679,6403.12.01,6403.12.01
4680,6403.19.02,6403.19.02
4681,6403.19.99,6403.19.99
4682,6403.20.01,6403.20.01
4683,6403.40.91,6403.40.05
4684,6403.51.05,6403.51.05
4685,6403.59.99,6403.59.99
4686,6403.91.04,6403.91.04
4687,6403.91.12,6403.91.12
4688,6403.91.13,6403.91.13
4689,6403.91.99,6403.91.99
4690,6403.99.01,6403.99.01
4691,6403.99.06,6403.99.06
4692,6403.99.12,6403.99.12
4693,6403.99.13,6403.99.13
4694,6403.99.14,6403.99.14
4695,6403.99.91,6403.99.15
4696,6403.99.99,6403.99.99
4697,6404.11.09,6404.11.09
4698,6404.11.12,6404.11.12
4699,6404.11.16,6404.11.16
4700,6404.11.17,6404.11.17
4701,6404.11.99,6404.11.99
4702,6404.19.02,6404.19.02
4703,6404.19.08,6404.19.08
4704,6404.19.99,6404.19.99
4705,6404.20.01,6404.20.01
4706,6405.10.01,6405.10.01
4707,6405.20.01,6405.20.01
4708,6405.20.02,6405.20.02
4709,6405.20.99,6405.20.99
4710,6405.90.99,6405.90.99
4711,6406.10.08,6406.10.08
4712,6406.10.09,6406.10.09
4713,6406.20.01,6406.20.01
4714,6406.20.02,6406.20.02
4715,6406.90.01,6406.90.01
4716,6406.90.02,6406.90.02
4717,6406.90.99,6406.90.99
4718,6501.00.01,6501.00.01
4719,6502.00.01,6502.00.01
4720,6504.00.01,6504.00.01
4721,6505.00.04,6505.00.04
4722,6506.10.01,6506.10.01
4723,6506.91.01,6506.91.01
4724,6506.91.99,6506.91.99
4725,6506.99.91,6506.99.02
4726,6507.00.01,6507.00.01
4727,6601.10.01,6601.10.01
4728,6601.91.01,6601.91.01
4729,6601.99.99,6601.99.99
4730,6602.00.01,6602.00.01
4731,6603.20.01,6603.20.01
4732,6603.20.99,6603.20.99
4733,6603.90.99,6603.90.99
4734,6701.00.01,6701.00.01
4735,6701.00.99,6701.00.99
4736,6702.10.01,6702.10.01
4737,6702.90.91,6702.90.01
4738,6703.00.01,6703.00.01
4739,6704.11.01,6704.11.01
4740,6704.19.99,6704.19.99
4741,6704.20.01,6704.20.01
4742,6704.90.91,6704.90.01
4743,6801.00.01,6801.00.01
4744,6802.10.01,6802.10.01
4745,6802.10.99,6802.10.99
4746,6802.21.01,6802.21.01
4747,6802.23.02,6802.23.02
4748,6802.29.91,6802.29.02
4749,6802.91.01,6802.91.01
4750,6802.92.91,6802.92.01
4751,6802.93.01,6802.93.01
4752,6802.99.91,6802.99.01
4753,6803.00.01,6803.00.01
4754,6803.00.99,6803.00.99
4755,6804.10.02,6804.10.02
4756,6804.21.02,6804.21.02
4757,6804.22.91,6804.22.04
4758,6804.23.02,6804.23.02
4759,6804.30.01,6804.30.01
4760,6805.10.01,6805.10.01
4761,6805.20.01,6805.20.01
4762,6805.30.01,6805.30.01
4763,6806.10.01,6806.10.01
4764,6806.20.01,6806.20.01
4765,6806.90.99,6806.90.99
4766,6807.10.01,6807.10.01
4767,6807.90.99,6807.90.99
4768,6808.00.01,6808.00.01
4769,6809.11.01,6809.11.01
4770,6809.19.99,6809.19.99
4771,6809.90.91,6809.90.01
4772,6810.11.01,6810.11.01
4773,6810.19.99,6810.19.99
4774,6810.91.01,6810.91.01
4775,6810.91.99,6810.91.99
4776,6810.99.99,6810.99.99
4777,6811.40.03,6811.40.03
4778,6811.40.05,6811.40.05
4779,6811.40.91,6811.40.04
4780,6811.40.99,6811.40.99
4781,6811.81.01,6811.81.01
4782,6811.82.91,6811.82.01
4783,6811.89.02,6811.89.02
4784,6811.89.99,6811.89.99
4785,6812.80.01,6812.80.01
4786,6812.80.05,6812.80.05
4787,6812.80.06,6812.80.06
4788,6812.80.08,6812.80.08
