,a,b
0,,
1,,
2,"TABLAS DE CORRELACIÓN 
TIGIE FRACCIONES ARANCELARIAS",
3,TIGIE 2022 (SA 2022),TIGIE 2020 (SA 2017)
275,0304.92.01,0304.92.01
276,0304.93.01,0304.93.01
277,0304.94.01,0304.94.01
278,0304.95.01,0304.95.01
279,0304.96.01,0304.96.01
280,0304.97.01,0304.97.01
281,0304.99.99,0304.99.99
282,0305.20.01,0305.20.01
283,0305.31.01,0305.31.01
284,0305.32.01,0305.32.01
285,0305.39.99,0305.39.99
286,0305.41.01,0305.41.01
287,0305.42.01,0305.42.01
288,0305.43.01,0305.43.01
289,0305.44.01,0305.44.01
290,0305.49.99,0305.49.99
291,0305.51.02,0305.51.02
292,0305.52.01,0305.52.01
293,0305.53.01,0305.53.01
294,0305.54.01,0305.54.01
295,0305.59.99,0305.59.99
296,0305.61.01,0305.61.01
297,0305.62.01,0305.62.01
298,0305.63.01,0305.63.01
299,0305.64.01,0305.64.01
300,0305.69.99,0305.69.99
301,0305.71.01,0305.71.01
302,0305.72.01,0305.72.01
303,0305.79.99,0305.79.99
304,0306.11.01,0306.11.01
305,0306.12.01,0306.12.01
306,0306.14.01,0306.14.01
307,0306.15.01,0306.15.01
308,0306.16.01,0306.16.01
309,0306.17.91,0306.17.01
310,0306.19.99,0306.19.99
311,0306.31.01,0306.31.01
312,0306.32.01,0306.32.01
313,0306.33.01,0306.33.01
314,0306.34.01,0306.34.01
315,0306.35.01,0306.35.01
316,0306.35.99,0306.35.99
317,0306.36.01,0306.36.01
318,0306.36.99,0306.36.99
319,0306.39.99,0306.39.01
320,0306.91.01,0306.91.01
321,0306.92.01,0306.92.01
322,0306.93.01,0306.93.01
323,0306.94.01,0306.94.01
324,0306.95.01,0306.95.01
325,0306.95.99,0306.95.99
326,0306.99.99,0306.99.99
327,0307.11.01,0307.11.01
328,0307.12.01,0307.12.01
329,0307.19.99,0307.19.99
330,0307.21.01,0307.21.01
331,0307.21.01,0307.91.01
332,0307.22.01,0307.22.01
333,0307.22.01,0307.92.01
334,0307.29.99,0307.29.99
335,0307.29.99,0307.99.99
336,0307.31.01,0307.31.01
337,0307.32.01,0307.32.01
338,0307.39.99,0307.39.99
339,0307.42.02,0307.42.02
340,0307.43.02,0307.43.02
341,0307.49.99,0307.49.99
342,0307.51.01,0307.51.01
343,0307.52.01,0307.52.01
344,0307.59.99,0307.59.99
345,0307.60.01,0307.60.01
346,0307.71.01,0307.71.01
347,0307.72.01,0307.72.01
348,0307.79.99,0307.79.99
349,0307.81.01,0307.81.01
350,0307.82.01,0307.82.01
351,0307.83.01,0307.83.01
352,0307.84.01,0307.84.01
353,0307.87.91,0307.87.01
354,0307.88.91,0307.88.01
355,0307.91.01,0307.91.01
356,0307.92.01,0307.92.01
357,0307.99.99,0307.99.99
358,0308.11.01,0308.11.01
359,0308.12.01,0308.12.01
360,0308.19.99,0308.19.99
361,0308.21.01,0308.21.01
362,0308.22.01,0308.22.01
363,0308.29.99,0308.29.99
364,0308.30.01,0308.30.01
365,0308.90.99,0308.90.99
366,0309.10.01,0305.10.01
367,0309.90.99,0306.19.99
368,0309.90.99,0306.39.01
369,0309.90.99,0306.99.99
370,0309.90.99,0307.91.01
371,0309.90.99,0307.92.01
372,0309.90.99,0307.99.99
373,0309.90.99,0308.90.99
374,0401.10.02,0401.10.02
375,0401.20.02,0401.20.02
376,0401.40.02,0401.40.02
377,0401.50.02,0401.50.02
378,0402.10.01,0402.10.01
379,0402.10.99,0402.10.99
380,0402.21.01,0402.21.01
381,0402.21.99,0402.21.99
382,0402.29.99,0402.29.99
383,0402.91.01,0402.91.01
384,0402.91.99,0402.91.99
385,0402.99.01,0402.99.01
386,0402.99.99,0402.99.99
387,0403.20.01,1901.90.99
388,0403.20.99,0403.10.01
389,0403.90.99,0403.90.99
390,0404.10.01,0404.10.01
391,0404.10.99,0404.10.99
392,0404.90.99,0404.90.99
393,0405.10.02,0405.10.02
394,0405.20.01,0405.20.01
395,0405.90.01,0405.90.01
396,0405.90.99,0405.90.99
397,0406.10.01,0406.10.01
398,0406.20.01,0406.20.01
399,0406.30.02,0406.30.02
400,0406.40.01,0406.40.01
401,0406.90.01,0406.90.01
402,0406.90.02,0406.90.02
403,0406.90.04,0406.90.04
404,0406.90.99,0406.90.99
405,0407.11.01,0407.11.01
406,0407.19.99,0407.19.99
407,0407.21.02,0407.21.02
408,0407.29.01,0407.29.01
409,0407.29.99,0407.29.99
410,0407.90.99,0407.90.99
411,0408.11.01,0408.11.01
412,0408.19.99,0408.19.99
413,0408.91.02,0408.91.02
414,0408.99.02,0408.99.02
415,0408.99.99,0408.99.99
416,0409.00.01,0409.00.01
417,0410.10.01,0208.90.99
418,0410.10.01,0210.99.99
419,0410.10.01,0410.00.99
420,0410.90.01,0410.00.01
421,0410.90.99,0410.00.99
422,0501.00.01,0501.00.01
423,0502.10.01,0502.10.01
424,0502.90.99,0502.90.99
425,0504.00.01,0504.00.01
426,0505.10.01,0505.10.01
427,0505.90.99,0505.90.99
428,0506.10.01,0506.10.01
429,0506.90.99,0506.90.99
430,0507.10.01,0507.10.01
431,0507.90.99,0507.90.99
432,0508.00.02,0508.00.02
433,0510.00.04,0510.00.04
434,0511.10.01,0511.10.01
435,0511.91.02,0511.91.02
436,0511.91.99,0511.91.99
437,0511.99.01,0511.99.01
438,0511.99.03,0511.99.03
439,0511.99.04,0511.99.04
440,0511.99.05,0511.99.05
441,0511.99.08,0511.99.08
442,0511.99.99,0511.99.99
443,0601.10.09,0601.10.09
444,0601.20.10,0601.20.10
445,0602.10.07,0602.10.07
446,0602.20.04,0602.20.04
447,0602.30.01,0602.30.01
448,0602.40.01,0602.40.01
449,0602.40.99,0602.40.99
450,0602.90.06,0602.90.06
451,0602.90.07,0602.90.07
452,0602.90.99,0602.90.99
453,0603.11.01,0603.11.01
454,0603.12.01,0603.12.01
455,0603.13.01,0603.13.01
456,0603.14.02,0603.14.02
457,0603.15.01,0603.15.01
458,0603.19.99,0603.19.99
459,0603.90.99,0603.90.99
460,0604.20.01,0604.20.01
461,0604.20.99,0604.20.99
462,0604.90.01,0604.90.01
463,0604.90.99,0604.90.99
464,0701.10.01,0701.10.01
465,0701.90.99,0701.90.99
466,0702.00.03,0702.00.03
467,0703.10.02,0703.10.02
468,0703.20.02,0703.20.02
469,0703.90.01,0703.90.01
470,0704.10.03,0704.10.03
471,0704.10.03,0704.90.99
472,0704.20.01,0704.20.01
473,0704.90.99,0704.90.99
474,0705.11.01,0705.11.01
475,0705.19.99,0705.19.99
476,0705.21.01,0705.21.01
477,0705.29.99,0705.29.99
478,0706.10.01,0706.10.01
479,0706.90.99,0706.90.99
480,0707.00.01,0707.00.01
